Hotel,1,2,3,4,5,6,7,8,9,10
1,14.3,5.2,6.2,2.5,4.1,5.8,9,8.6,13.8,7.3
2,14.6,7.9,5.5,4.9,0.4,4,10,5.9,11.3,9.5
3,17.3,11.5,8.3,4.7,4.3,8.4,15.5,7.8,13.1,13.7
4,16,9.7,6.5,6.6,2.3,5.6,16.5,6,11.9,11.1
5,12.1,3.8,4.3,4.6,3.4,4.7,7.3,8.5,14.3,9.5
6,17.5,10,6.8,6.3,3.2,6.2,16.2,6.5,12.6,10.8
7,16.2,7.2,8,0.5,5,8,10.2,11.7,18.1,5.6
8,16.5,6.3,9,1.7,7.2,10.7,9.5,13,19.5,4.7
9,14.3,4.8,6.3,2.7,3.8,6,7,9.5,14.7,7.8
10,5.8,11.3,7.3,17.8,11.2,7.5,16.2,6.5,9.4,26.9
11,13.2,12.9,5.9,13.1,6.2,5.4,14.8,1.9,6.4,19.2
12,18.3,9.8,10,3.2,6.9,9.9,15.2,12.5,16.4,7.3
13,22.9,11.7,13.5,5.8,12.9,15.9,12.7,18.6,22.4,1.4
14,16,6.2,8.9,2.5,8.4,9.6,8.5,14.3,20.7,6
15,13.2,3.1,5.3,3.8,4.3,5.6,5.8,9.9,15.2,8
